floor,A,B,C,O,symbol,bid_size,bid_price,ask_size,ask_price
10:42:00.000000000,1.00,,,,SPXW__220302P04390000,2,42.10,2,43.80
10:43:00.000000000,1.00,,,,SPXW__220302P04390000,30,41.10,5,42.60
10:44:00.000000000,1.00,,,,SPXW__220302P04390000,5,41.80,9,43.40
10:45:00.000000000,1.00,,,,SPXW__220302P04390000,5,43.60,5,46.00
10:46:00.000000000,1.00,,,,SPXW__220302P04390000,5,45.90,5,47.50
10:47:00.000000000,1.00,,,,SPXW__220302P04390000,30,45.10,5,46.60
10:48:00.000000000,1.00,,,,SPXW__220302P04390000,4,44.40,5,45.70
10:49:00.000000000,1.00,,,,SPXW__220302P04390000,4,40.10,4,41.80
10:50:00.000000000,1.00,,,,SPXW__220302P04390000,5,41.00,2,42.80
10:51:00.000000000,1.00,,,,SPXW__220302P04390000,5,44.90,5,46.50
10:52:00.000000000,1.00,,,,SPXW__220302P04390000,5,45.50,5,47.10
10:53:00.000000000,1.00,,,,SPXW__220302P04390000,5,45.30,5,50.30
10:54:00.000000000,1.00,,,,SPXW__220302P04390000,30,51.50,5,53.10
10:55:00.000000000,1.00,,,,SPXW__220302P04390000,1,49.20,5,50.70
10:56:00.000000000,1.00,,,,SPXW__220302P04390000,2,45.90,2,47.70
10:57:00.000000000,1.00,,,,SPXW__220302P04390000,2,45.50,5,46.90
10:58:00.000000000,1.00,,,,SPXW__220302P04390000,5,42.90,5,44.40
10:59:00.000000000,1.00,,,,SPXW__220302P04390000,2,43.00,2,44.70
11:00:00.000000000,1.00,,,,SPXW__220302P04390000,5,47.80,30,49.30
11:01:00.000000000,1.00,,,,SPXW__220302P04390000,5,47.00,5,48.30
11:02:00.000000000,1.00,,,,SPXW__220302P04390000,2,39.10,2,41.10
11:03:00.000000000,1.00,,,,SPXW__220302P04390000,5,35.40,5,36.70
11:04:00.000000000,1.00,,,,SPXW__220302P04390000,4,30.90,5,32.20
11:05:00.000000000,1.00,,,,SPXW__220302P04390000,9,30.90,4,32.50
11:06:00.000000000,1.00,,,,SPXW__220302P04390000,5,28.10,27,28.80
11:07:00.000000000,1.00,0.00,,,SPXW__220302P04390000,12,26.90,5,27.40
11:08:00.000000000,1.00,0.00,,,SPXW__220302P04390000,1,25.90,12,26.60
11:09:00.000000000,1.00,0.00,,,SPXW__220302P04390000,7,27.00,1,27.60
11:10:00.000000000,1.00,,,,SPXW__220302P04390000,5,27.70,5,28.30
11:11:00.000000000,1.00,,,,SPXW__220302P04390000,5,27.60,21,28.10
11:12:00.000000000,1.00,,,,SPXW__220302P04390000,9,26.10,6,26.60
11:13:00.000000000,1.00,,,,SPXW__220302P04390000,28,24.80,25,25.50
11:14:00.000000000,1.00,,,,SPXW__220302P04390000,5,24.50,9,25.00
